label;WEEK1;WEEK2;WEEK3;WEEK4;WEEK5;TOTAL
BIXI_3;1;1;1;1;1;5
BIXI_6;0;1;1;1;1;4
BUPO_1;1;1;0;1;1;4
BUPO_2;1;1;1;0;1;4
CECU_3;1;1;0;1;0;3
CECU_6;0;1;0;0;0;1
FEGA_4;1;1;1;1;1;5
FEGA_5;1;1;1;1;1;5
FUBI_2;1;1;1;1;1;5
FUBI_7;1;1;1;1;1;5
GODU_4;1;1;0;1;1;4
GODU_5;1;1;0;1;0;3
JUKA_4;1;1;1;1;0;4
JUKA_5;1;1;1;1;1;5
KALI_4;1;1;1;0;0;3
KALI_5;1;1;0;1;1;4
KAWE_4;1;1;1;1;1;5
KAWE_5;1;1;1;1;1;5
KEBO_4;1;1;0;1;1;4
KEKO_1;1;1;1;1;1;5
KEKO_8;1;1;1;1;0;4
KEVA_2;1;1;1;1;0;4
KEVA_7;1;1;1;1;1;5
KEYU_3;1;1;1;1;1;5
KEYU_6;1;1;1;1;1;5
KOCA_0;1;1;1;1;1;5
KUQA_4;1;1;1;1;1;5
KUQA_5;1;1;0;1;0;3
KUTO_4;1;1;1;1;1;5
KUTO_5;1;1;1;0;1;4
LENE_1;1;1;1;1;1;5
LENE_8;1;1;1;1;1;5
LERA_3;1;1;1;1;1;5
LERA_6;0;1;0;1;1;3
LUWA_2;1;1;1;1;1;5
LUWA_7;1;1;1;1;1;5
MECI_3;1;1;0;1;0;3
MECI_6;1;1;0;1;1;4
MUFE_4;1;1;1;1;1;5
MUFE_5;1;1;1;1;1;5
NIDE_4;1;1;1;1;1;5
NIDE_5;1;1;1;1;1;5
PIFU_1;1;1;1;1;0;4
PIFU_8;1;1;0;1;1;4
PUFO_2;1;1;1;1;1;5
PUFO_7;1;1;1;1;1;5
QENA_1;1;1;0;1;0;3
QENA_8;1;1;1;1;1;5
QUBO_4;0;1;1;1;1;4
QUBO_5;1;1;1;1;1;5
QUHI_4;1;1;1;1;1;5
QUHI_5;1;1;1;1;1;5
RIXA_4;1;1;1;1;1;5
RIXA_5;1;1;1;1;1;5
ROWI_0;1;1;1;1;1;5
ROWI_9;1;1;0;1;1;4
RUBI_1;1;1;1;1;1;5
RUBI_8;1;1;1;1;1;5
SARU_3;1;1;1;1;0;4
SARU_6;1;1;1;1;1;5
TOFI_1;1;1;1;1;0;4
TOFI_8;1;1;1;1;1;5
VEPU_2;1;1;1;1;1;5
VEPU_7;1;1;1;1;1;5
VODU_3;1;1;1;1;1;5
VODU_6;1;1;1;1;1;5
WADO_1;1;1;1;1;1;5
WADO_8;1;1;1;1;1;5
WERE_0;1;1;0;1;1;4
WERE_9;1;1;0;0;0;2
WOZA_2;1;1;1;1;1;5
WOZA_7;1;1;1;1;1;5
XUMA_0;1;1;1;1;1;5
XUMA_9;1;1;1;1;1;5
XUPU_2;1;1;1;1;1;5
XUPU_7;1;1;1;1;1;5
YICE_3;1;1;1;1;1;5
YICE_6;1;1;1;1;0;4
YIXU_4;1;1;0;1;1;4
YIXU_5;1;1;1;1;0;4
ZELU_4;1;1;1;1;1;5
ZELU_5;0;1;1;1;1;4
ZICU_2;1;1;1;1;1;5
ZICU_7;1;1;0;1;0;3
ZIJA_2;1;1;0;1;0;3
ZIJA_7;1;1;1;1;1;5
ZIRE_0;1;1;1;1;1;5
ZIRE_9;1;1;1;1;1;5
ZORE_1;1;1;1;1;1;5
ZORE_8;1;1;1;1;1;5
ZOYO_1;1;1;1;1;1;5
ZOYO_8;1;1;1;1;1;5
ZUWU_7;1;1;0;1;1;4
